Date,ID,Work Order,Other,Project Task,Issue,Start Date Time,Start Time,Pause Start Time,Pause Start Date Time,Pause End Date Time,Pause End Time,Pause Duration (seconds),Pause Duration (minutes),End Date Time,End Time,Total Time (seconds),Total Time (minutes)
2024-03-25,1,1,No,1,1,2024-03-25 00:34:28,00:34:28,,,,,,,2024-03-25 00:34:32,00:34:32,4.0,0.06666666666666667
2024-03-25,1,1,No,1,New2,2024-03-25 00:34:55,00:34:55,,,,,,,2024-03-25 00:35:05,00:35:05,10.0,0.06666666666666667
2024-03-25,1,1,No,1,New3,2024-03-25 00:35:30,00:35:30,,,,,,,2024-03-25 00:35:38,00:35:38,8.0,0.06666666666666667
2024-03-25,1,1,No,1,1,2024-03-25 00:35:53,00:35:53,,,,,,,2024-03-25 00:35:58,00:35:58,5.0,0.06666666666666667
2024-03-25,1,1,No,1,1,2024-03-25 00:36:11,00:36:11,00:36:17,2024-03-25 00:36:17,2024-03-25 00:36:34,00:36:34,17.0,0.2833333333333333,2024-03-25 00:36:34,00:36:34,6.000000000000002,0.06666666666666667
2024-03-25,1,1,No,1,DirectPause,2024-03-25 00:37:33,00:37:33,00:37:37,2024-03-25 00:37:37,2024-03-25 00:37:43,00:37:43,6.0,0.1,2024-03-25 00:37:43,00:37:43,3.999999999999999,0.06666666666666667
2024-03-25,1,1,No,11,1,2024-03-25 00:38:10,00:38:10,00:38:16,2024-03-25 00:38:16,2024-03-25 00:39:09,00:39:09,53.0,0.8833333333333333,2024-03-25 00:39:09,00:39:09,5.999999999999998,0.06666666666666667
2024-03-25,1,1,No,1,1,2024-03-25 00:40:08,00:40:08,00:40:12,2024-03-25 00:40:12,2024-03-25 00:45:54,00:45:54,342.0,5.7,2024-03-25 00:45:54,00:45:54,3.999999999999986,0.06666666666666667
2024-03-25,1,1,No,1,1,2024-03-25 00:46:14,00:46:14,00:46:19,2024-03-25 00:46:19,2024-03-25 01:00:28,01:00:28,849.0,14.15,2024-03-25 01:00:28,01:00:28,4.999999999999929,0.06666666666666667
2024-03-25,2,2,No,2,2,2024-03-25 00:55:05,00:55:05,00:55:09,2024-03-25 00:55:09,2024-03-25 01:00:21,01:00:21,312.0,5.2,2024-03-25 01:01:22,01:01:22,64.99999999999999,1.083333333333333
2024-03-25,1,1,No,1,1,2024-03-25 01:01:16,01:01:16,01:01:32,2024-03-25 01:01:32,2024-03-25 01:10:03,01:10:03,511.00000000000006,8.516666666666667,2024-03-25 01:10:08,01:10:08,20.99999999999998,0.06666666666666667
2024-03-25,3,3,No,3,3,2024-03-25 01:01:28,01:01:28,,,,,,,,,,
2024-03-25,1,1,No,1,1,2024-03-25 01:10:34,01:10:34,01:10:38,2024-03-25 01:10:38,2024-03-25 01:10:41,01:10:41,3.0,0.05,2024-03-25 01:10:45,01:10:45,7.999999999999998,0.06666666666666667
2024-03-25,1,1,No,1,1,2024-03-25 01:11:20,01:11:20,01:11:24,2024-03-25 01:11:24,2024-03-25 01:11:27,01:11:27,3.0,0.05,2024-03-25 01:11:27,01:11:27,4.0,0.06666666666666667
